 back to 1/22/2010:

Date 	AMZN Market Cap
1/22/2010	53.98B
4/16/2010	63.36B
7/15/2010	54.66B
10/14/2010	69.81B
1/19/2011	84.28B
4/19/2011	80.83B
7/15/2011	96.63B
10/14/2011	112.19B
1/19/2012	88.49B
4/13/2012	84.91B
7/13/2012	98.73B
10/12/2012	109.78B
1/18/2013	123.69B
4/12/2013	124.22B
7/12/2013	140.51B
10/11/2013	142.30B
1/17/2014	183.53B
4/16/2014	148.95B
7/16/2014	164.44B
10/15/2014	141.67B
1/16/2015	135.01B
4/15/2015	178.57B
7/15/2015	215.70B
10/14/2015	255.40B
1/20/2016	269.21B
4/20/2016	298.66B
7/20/2016	353.53B
10/19/2016	388.54B
1/25/2017	399.16B
4/18/2017	431.98B
7/18/2017	492.12B
10/18/2017	480.43B
1/24/2018	657.18B
4/18/2018	741.35B
7/18/2018	898.87B
10/17/2018	895.66B
1/23/2019	805.58B
4/17/2019	918.11B
7/17/2019	985.37B
5/17/2018	13.57B
10/16/2019	881.24B
1/22/2020	939.60B
4/22/2020	1.179T
7/22/2020	1.553T
10/21/2020	1.598T
1/20/2021	1.643T
4/21/2021	1.696T
7/21/2021	1.816T
